id,title,year,cleaned_token_count,processed_token_count
153,Implementasi Normalisasi Min-Max Scaler dan SMOTE pada Algoritma C4.5 untuk Optimasi Klasifikasi Kualitas Mutu Padi Organik Berbasis Website Framework Django,2024,597,301
154,Implementasi Single Shot Multibox Detector MobileNetV2 pada Sistem Deteksi Karies Gigi Berbasis Android,2024,304,171
155,Clustering Sukuk Korporasi Berdasarkan Profil Risiko Investasi Investor Berbasis Website,2024,305,188
156,Aplikasi Customer Relationship Management (CRM) Berbasis Web Menggunakan Fitur Simulasi Kelayakan Nasabah Pada Koperasi Nusantara Mandiri,2024,187,108
157,Analisis Performa Aplikasi Penyedia Layanan Tour and Travel dengan Bahasa Pemrograman Kotlin dan Dart,2024,328,171
158,Implementasi Gaussian Mixture Model Pada Indeks Kerukunan Umat Beragama Di Indonesia Berbasis Website,2024,273,144
159,Aplikasi Layanan Servis Elektronik Online dengan Geolocation Berbasis Mobile menggunakan Framework Flutter dan State Management BLoC,2024,295,173
160,Game Edukasi Untuk Mata Pelajaran Komputer dan Jaringan Dasar Pada Sekolah Menengah Kejuruan Program Keahlian Teknik Komputer dan Jaringan,2024,307,176
161,Rancang Bangun Game Edukasi “Grammar Space Shooter” Untuk Menunjang Proses Pembelajaran Bahasa Inggris Siswa SMP Berbasis Android,2024,244,132
162,Image Captioning pada Gambar Objek Wisata di Purbalingga Menggunakan Arsitektur Transformer dan Text-to-Speech Berbasis Website,2024,607,366
163,Segmentasi Pelanggan Dan Penentuan Rekomendasi Produk Pada Umkm Warung Sehat Hidroponik Dengan Graphical User Interface Berbasis Website,2024,436,259
164,Implementasi Face Anti Spoofing Menggunakan Convolutional Neural Network dengan Resnet50 pada Sistem Manajemen Kehadiran Berbasis Mobile,2024,410,236
165,Implementasi Linear Regression dalam Penentuan Harga Cetak Dokumen pada Usaha Percetakan Menggunakan Metode CRISP-DM dengan GUI Berbasis Website,2024,276,169
166,Aplikasi Daily Journaling dengan Deteksi Emosi Wajah Menggunakan Arsitektur Mobilenetv2 Berbasis Mobile,2024,128,82
167,Sistem Pendukung Keputusan Pemilihan Kacamata Terbaik Menggunakan Analytical Hierarchy Process (Ahp),2024,276,157
168,Implementasi Kombinasi Metode VIKOR Dan ROC Pada Sistem Pendukung Keputusan Untuk Seleksi Karyawan Baru Di PT Columbus,2024,282,154
